NAME,WIDTH,PRICE,POWER,GRASS,AREA,DESCRIPTION
Bear YEX635,39.0,45000.0,1.25,60.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Wolf ISB956,42.0,27000.0,1.0,35.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch LAQ128,37.0,13000.0,1.35,55.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Bear XAK811,,24000.0,1.7,65.0,350.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Worx KCF632,42.0,10000.0,1.6,40.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Cooper LCJ323,30.0,34000.0,1.5,50.0,200.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Cooper PKM715,39.0,37000.0,0.9,75.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Cooper QRY126,38.0,14000.0,1.25,35.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Cooper DCM748,41.0,39000.0,1.9,,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Wolf VAI443,41.0,215693.0,1.4,40.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita VCD231,,12000.0,1.15,70.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Gardez WPT189,38.0,43000.0,1.4,40.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Gardez YRJ987,39.0,21000.0,1.5,35.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Nakita WMQ599,37.0,46000.0,,65.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Gardez KTP582,44.0,44000.0,1.9,65.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear YRC687,42.0,45000.0,1.35,65.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita OTU824,44.0,42000.0,1.5,30.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear VRF824,41.0,29000.0,1.0,25.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion DHN176,37.0,15000.0,1.75,45.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Cooper RWA328,38.0,489631.0,1.45,45.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Bear ZYQ294,30.0,27000.0,0.75,40.0,600.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Cooper YHE474,39.0,16000.0,1.0,35.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Champion XHX997,42.0,35000.0,1.85,70.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Cooper YGE828,43.0,14000.0,1.55,30.0,500.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx SWA675,32.0,25000.0,0.75,60.0,550.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Worx XZG661,35.0,37000.0,1.15,75.0,250.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez BOK522,33.0,14000.0,0.75,55.0,400.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf SYX811,33.0,30000.0,1.5,25.0,300.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf NAL513,,9000.0,1.2,70.0,400.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez WOP256,39.0,32000.0,1.7,35.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
