ID,DISTANCE,STOP_COUNT,COST,FITNESS,INTERNET
1,8,2,38000,7,0
2,8,10,30000,16,1
3,16,12,49000,22,3
4,16,9,34000,15,0
5,23,12,32000,27,3
6,15,6,32000,5,3
7,26,8,57000,4,1
8,5,10,42000,27,4
9,24,11,30000,21,4
10,20,4,34000,6,0
11,17,12,24000,14,1
12,6,3,26000,6,0
13,12,1,28000,18,3
14,10,10,55000,16,3
15,26,4,31000,18,0
16,4,9,31000,21,0
17,20,5,31000,24,4
18,16,8,39000,27,0
19,6,2,43000,19,0
20,21,1,47000,24,0
21,21,7,38000,6,4
22,23,6,58000,5,2
23,23,2,59000,16,0
24,9,3,58000,5,4
25,15,3,22000,4,1
26,19,7,23000,27,3
27,9,8,55000,16,0
28,17,5,34000,25,4
29,16,6,56000,9,0
30,3,5,20000,21,2
31,14,9,59000,29,3
32,18,12,30000,19,3
33,26,11,24000,3,4
34,7,12,26000,4,1
35,16,6,56000,16,0
36,21,5,45000,28,0
37,4,10,50000,4,3
38,26,7,30000,29,4
39,20,1,54000,7,2
40,29,12,37000,26,1
41,17,8,35000,19,2
42,28,10,26000,6,1
43,11,3,26000,14,3
44,14,9,31000,18,0
45,16,9,40000,5,2
46,15,9,21000,4,2
47,8,1,50000,9,1
48,14,10,32000,13,4
49,28,8,21000,7,1
50,10,3,20000,6,0
51,12,6,25000,15,2
52,4,12,53000,21,2
53,27,8,51000,4,3
54,18,8,26000,25,1
55,10,5,22000,10,2
56,7,9,30000,24,2
57,25,6,37000,13,3
58,11,1,24000,29,4
59,28,5,36000,6,2
60,25,4,34000,23,0
61,19,4,31000,14,1
62,26,11,53000,20,3
63,8,2,59000,5,2
64,12,12,53000,12,3
65,29,3,37000,20,4
66,29,7,36000,18,4
67,17,9,56000,22,1
68,22,10,21000,21,3
69,20,7,44000,20,4
70,23,8,31000,25,2
71,15,4,59000,22,1
72,5,9,48000,25,2
73,14,9,52000,27,3
74,18,11,32000,28,4
75,14,7,29000,10,4
76,15,6,28000,6,4
77,22,4,55000,13,4
78,12,7,55000,5,1
79,27,1,58000,18,0
80,19,7,58000,6,3
81,10,3,40000,21,3
82,4,8,24000,27,1
83,12,10,34000,7,2
84,14,9,33000,28,1
85,7,8,50000,12,4
86,5,8,36000,29,4
87,13,3,53000,6,3
88,18,3,59000,22,3
89,14,9,28000,5,2
90,20,5,36000,26,0
91,29,5,31000,25,4
92,12,9,24000,11,0
93,16,8,37000,24,4
94,10,9,38000,9,2
95,9,5,48000,10,2
96,19,9,31000,25,3
97,26,11,58000,13,0
98,15,10,49000,3,1
99,19,2,56000,22,3
100,22,2,39000,25,1
101,25,4,41000,13,4
102,16,1,33000,17,4
103,15,11,24000,9,1
104,26,8,39000,22,3
105,14,7,46000,6,3
106,15,8,20000,25,1
107,22,12,39000,15,3
108,15,11,46000,19,3
109,22,3,54000,17,4
110,24,10,52000,19,1
111,26,4,45000,29,2
112,23,5,24000,18,3
113,26,2,58000,12,4
114,22,1,35000,25,1
115,9,9,53000,23,4
116,10,9,37000,21,1
117,5,5,46000,10,4
118,13,9,36000,28,0
119,15,3,20000,26,2
120,22,8,46000,19,3
121,5,12,48000,14,4
122,29,6,35000,11,0
123,18,3,42000,28,2
124,17,3,34000,22,0
125,16,8,43000,22,1
126,10,3,38000,7,3
127,18,10,51000,9,2
128,28,2,45000,4,1
129,29,3,33000,13,2
130,22,5,53000,27,1
131,25,11,33000,12,3
132,6,3,53000,20,2
133,9,2,26000,24,4
134,7,6,54000,13,0
135,15,1,53000,18,2
136,21,9,41000,26,2
137,25,2,42000,27,0
138,5,5,36000,12,0
139,12,10,59000,8,2
140,15,2,49000,11,3
141,12,4,56000,28,4
142,22,8,20000,27,1
143,3,11,25000,8,4
144,17,9,29000,18,0
145,27,1,43000,15,2
146,28,1,55000,6,3
147,21,2,21000,26,0
148,20,9,38000,22,1
149,24,9,46000,25,0
150,26,4,37000,11,4
151,12,2,39000,11,4
152,24,5,47000,11,3
153,4,12,39000,8,4
154,7,1,56000,21,2
155,25,9,39000,4,3
156,27,8,51000,9,2
157,9,10,51000,26,2
158,26,6,53000,8,1
159,19,7,20000,3,0
160,3,2,45000,23,0
161,5,4,55000,7,2
162,28,3,54000,27,4
163,25,2,43000,24,3
164,20,1,35000,7,1
165,13,7,39000,11,2
166,13,1,39000,4,1
167,22,12,33000,11,0
168,21,12,39000,23,4
169,11,4,53000,27,1
170,8,3,57000,29,1
171,9,12,57000,19,0
172,23,3,40000,24,0
173,12,6,20000,8,2
174,5,2,51000,11,0
175,10,12,35000,20,4
176,9,3,49000,11,2
177,20,4,42000,20,2
178,6,2,56000,9,4
179,6,5,21000,3,2
180,15,6,34000,26,2
181,22,7,48000,18,4
182,25,5,34000,19,1
183,13,9,43000,16,0
184,3,3,51000,25,4
185,20,12,58000,15,1
186,11,2,20000,14,4
187,20,5,46000,10,4
188,22,1,40000,27,1
189,8,10,39000,18,0
190,9,11,54000,10,4
191,8,11,45000,29,4
192,7,1,42000,17,4
193,18,11,43000,27,1
194,12,1,34000,8,2
195,14,2,34000,28,0
196,4,1,20000,15,0
197,28,4,20000,21,1
198,7,3,22000,27,4
199,14,2,27000,3,1
200,6,7,46000,26,4
