Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Choice_7;Choice_8;Choice_9
Big Data;Python;Методы искусственного интеллекта;Обработка изображений;Электронные таблицы;;;;
;;;;;;;;
Методы искусственного интеллекта;Машинное обучение;Python;Обработка изображений;;;;;
;;;;;;;;
Статистика;Визуализация данных;;;;;;;
Статистика;Электронные таблицы;Визуализация данных;Big Data;;;;;
Статистика;Обработка изображений;Визуализация данных;;;;;;
Big Data;Анализ текстов;Статистика;Python;Машинное обучение;Методы искусственного интеллекта;;;
Анализ текстов;Статистика;Электронные таблицы;Визуализация данных;Обработка изображений;;;;
Визуализация данных;Электронные таблицы;Python;Машинное обучение;Big Data;Обработка изображений;Методы искусственного интеллекта;;
Визуализация данных;Python;Машинное обучение;Big Data;Методы искусственного интеллекта;;;;
Визуализация данных;;;;;;;;
;;;;;;;;
Обработка изображений;Анализ текстов;Обработка изображений;;;;;;
Big Data;Python;;;;;;;
Методы искусственного интеллекта;Статистика;Big Data;Визуализация данных;;;;;
Статистика;Визуализация данных;;;;;;;
Статистика;Big Data;;;;;;;
Обработка изображений;Визуализация данных;Машинное обучение;Статистика;Методы искусственного интеллекта;Python;;;
Машинное обучение;;;;;;;;
;;;;;;;;
Визуализация данных;Анализ текстов;Машинное обучение;Big Data;Статистика;Методы искусственного интеллекта;Обработка изображений;Электронные таблицы;Python
Обработка изображений;Электронные таблицы;Визуализация данных;Статистика;;;;;
Машинное обучение;Python;Статистика;Обработка изображений;Анализ текстов;;;;
Машинное обучение;;;;;;;;
Статистика;Электронные таблицы;Визуализация данных;Анализ текстов;;;;;
;;;;;;;;
Методы искусственного интеллекта;Python;Машинное обучение;Визуализация данных;;;;;
Методы искусственного интеллекта;Python;Визуализация данных;;;;;;
;;;;;;;;
Статистика;Python;Анализ текстов;Big Data;Визуализация данных;;;;
Электронные таблицы;;;;;;;;
Анализ текстов;Электронные таблицы;Визуализация данных;Big Data;;;;;
Обработка изображений;Анализ текстов;Big Data;Визуализация данных;Методы искусственного интеллекта;Статистика;Машинное обучение;;
Big Data;Электронные таблицы;Методы искусственного интеллекта;Машинное обучение;;;;;
Визуализация данных;Машинное обучение;Python;Методы искусственного интеллекта;Big Data;;;;
;;;;;;;;
Статистика;Визуализация данных;Анализ текстов;Машинное обучение;;;;;
Ничего из перечисленного;;;;;;;;
Машинное обучение;;;;;;;;
Методы искусственного интеллекта;Статистика;Машинное обучение;Визуализация данных;Электронные таблицы;Анализ текстов;Обработка изображений;;
Анализ текстов;Электронные таблицы;;;;;;;
Ничего из перечисленного;;;;;;;;
Визуализация данных;;;;;;;;
;;;;;;;;
Визуализация данных;Анализ текстов;Машинное обучение;Электронные таблицы;Python;Методы искусственного интеллекта;Обработка изображений;;
Python;Визуализация данных;Обработка изображений;;;;;;
Анализ текстов;Статистика;Python;Визуализация данных;Электронные таблицы;;;;
;;;;;;;;
Статистика;Обработка изображений;;;;;;;
Обработка изображений;Визуализация данных;Статистика;Электронные таблицы;;;;;
Python;Машинное обучение;Big Data;;;;;;
;;;;;;;;
Big Data;Визуализация данных;Python;Статистика;;;;;
Статистика;Электронные таблицы;Визуализация данных;Big Data;Машинное обучение;Методы искусственного интеллекта;Обработка изображений;Анализ текстов;
;;;;;;;;
Визуализация данных;Методы искусственного интеллекта;Электронные таблицы;;;;;;
Big Data;Статистика;Машинное обучение;Визуализация данных;Электронные таблицы;;;;
;;;;;;;;
;;;;;;;;
Визуализация данных;Машинное обучение;Обработка изображений;Методы искусственного интеллекта;;;;;
Электронные таблицы;Анализ текстов;Статистика;Визуализация данных;Big Data;;;;
Ничего из перечисленного;;;;;;;;
Статистика;Визуализация данных;;;;;;;
Методы искусственного интеллекта;Python;Статистика;;;;;;
Электронные таблицы;Обработка изображений;Визуализация данных;;;;;;
;;;;;;;;
;;;;;;;;
Python;Электронные таблицы;Обработка изображений;Анализ текстов;Визуализация данных;;;;
Обработка изображений;;;;;;;;
Статистика;Визуализация данных;Python;Электронные таблицы;Анализ текстов;;;;
Визуализация данных;Big Data;Электронные таблицы;;;;;;
Визуализация данных;Электронные таблицы;Машинное обучение;;;;;;
Методы искусственного интеллекта;Анализ текстов;Визуализация данных;Электронные таблицы;;;;;
Визуализация данных;Обработка изображений;Электронные таблицы;Статистика;Машинное обучение;;;;
Методы искусственного интеллекта;Big Data;Визуализация данных;;;;;;
;;;;;;;;
Методы искусственного интеллекта;Электронные таблицы;Визуализация данных;Статистика;Обработка изображений;Анализ текстов;;;
Big Data;Визуализация данных;;;;;;;
Обработка изображений;Методы искусственного интеллекта;Анализ текстов;Машинное обучение;;;;;
Анализ текстов;;;;;;;;
;;;;;;;;
Обработка изображений;Электронные таблицы;Визуализация данных;Машинное обучение;Python;Статистика;Методы искусственного интеллекта;Анализ текстов;
Методы искусственного интеллекта;Обработка изображений;Big Data;Анализ текстов;;;;;
;;;;;;;;
Машинное обучение;Электронные таблицы;Визуализация данных;Анализ текстов;Методы искусственного интеллекта;Python;;;
Ничего из перечисленного;;;;;;;;
Визуализация данных;;;;;;;;
Статистика;Анализ текстов;Python;;;;;;
Машинное обучение;Визуализация данных;Электронные таблицы;Анализ текстов;Обработка изображений;Методы искусственного интеллекта;Статистика;Python;Big Data
Визуализация данных;;;;;;;;
Обработка изображений;Электронные таблицы;Машинное обучение;Python;Методы искусственного интеллекта;;;;
Машинное обучение;Python;Big Data;Методы искусственного интеллекта;Визуализация данных;;;;
Визуализация данных;Статистика;Обработка изображений;;;;;;
;;;;;;;;
;;;;;;;;
Python;Big Data;Методы искусственного интеллекта;Машинное обучение;;;;;
Обработка изображений;Визуализация данных;Электронные таблицы;;;;;;
Анализ текстов;Визуализация данных;Python;Статистика;;;;;
Статистика;Python;Машинное обучение;Big Data;Визуализация данных;Электронные таблицы;Анализ текстов;Обработка изображений;Методы искусственного интеллекта
;;;;;;;;
;;;;;;;;
Визуализация данных;Big Data;Python;Машинное обучение;;;;;
Статистика;Электронные таблицы;Визуализация данных;;;;;;
Анализ текстов;;;;;;;;
Статистика;;;;;;;;
Методы искусственного интеллекта;Машинное обучение;Python;Электронные таблицы;Big Data;Статистика;;;
Статистика;Визуализация данных;Big Data;Обработка изображений;Анализ текстов;;;;
Методы искусственного интеллекта;Электронные таблицы;Визуализация данных;Big Data;Машинное обучение;Статистика;Анализ текстов;;
Статистика;Машинное обучение;Визуализация данных;Электронные таблицы;;;;;
Big Data;Визуализация данных;Электронные таблицы;Обработка изображений;Анализ текстов;Методы искусственного интеллекта;Статистика;Python;Машинное обучение
Электронные таблицы;Визуализация данных;Статистика;Big Data;;;;;
Python;Машинное обучение;Обработка изображений;Статистика;Big Data;;;;
Визуализация данных;Статистика;Электронные таблицы;;;;;;
Статистика;Обработка изображений;Методы искусственного интеллекта;;;;;;
Обработка изображений;Методы искусственного интеллекта;Статистика;Big Data;Визуализация данных;Электронные таблицы;Анализ текстов;;
Python;Методы искусственного интеллекта;Машинное обучение;Big Data;;;;;
;;;;;;;;
Методы искусственного интеллекта;Обработка изображений;Статистика;Анализ текстов;Big Data;Машинное обучение;Python;;
Статистика;Машинное обучение;Python;Анализ текстов;Электронные таблицы;Big Data;;;
Анализ текстов;Python;Машинное обучение;Big Data;Визуализация данных;Обработка изображений;Статистика;;
Big Data;Машинное обучение;Python;Методы искусственного интеллекта;Анализ текстов;;;;
Визуализация данных;;;;;;;;
Big Data;Электронные таблицы;Визуализация данных;Python;Обработка изображений;Анализ текстов;;;
Статистика;Анализ текстов;Обработка изображений;Электронные таблицы;Визуализация данных;Big Data;Машинное обучение;Python;Методы искусственного интеллекта
Методы искусственного интеллекта;;;;;;;;
Python;Обработка изображений;Машинное обучение;Big Data;Визуализация данных;;;;
Визуализация данных;;;;;;;;
Анализ текстов;Обработка изображений;Статистика;Python;Машинное обучение;;;;
Машинное обучение;Визуализация данных;Python;Анализ текстов;Обработка изображений;Электронные таблицы;Методы искусственного интеллекта;Big Data;
Ничего из перечисленного;;;;;;;;
