timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777846285643,1093,HTTP Request,200,OK,Config 1 1-1,text,false,"The operation lasted too long: It took 1 093 milliseconds, but should not have lasted longer than 470 milliseconds.",231,159,1,1,http://localhost:8079/?token=495324564&user=-1356107170&config=1,1093,0,0
1777846287143,1090,HTTP Request,200,OK,Config 1 1-1,text,false,"The operation lasted too long: It took 1 090 milliseconds, but should not have lasted longer than 470 milliseconds.",231,159,1,1,http://localhost:8079/?token=495324564&user=-1356107170&config=1,1090,0,0
1777846288645,1022,HTTP Request,200,OK,Config 1 1-1,text,false,"The operation lasted too long: It took 1 022 milliseconds, but should not have lasted longer than 470 milliseconds.",231,159,1,1,http://localhost:8079/?token=495324564&user=-1356107170&config=1,1022,0,0
1777846290144,1059,HTTP Request,200,OK,Config 1 1-1,text,false,"The operation lasted too long: It took 1 059 milliseconds, but should not have lasted longer than 470 milliseconds.",231,159,1,1,http://localhost:8079/?token=495324564&user=-1356107170&config=1,1059,0,0
1777846291644,1095,HTTP Request,200,OK,Config 1 1-1,text,false,"The operation lasted too long: It took 1 095 milliseconds, but should not have lasted longer than 470 milliseconds.",231,159,1,1,http://localhost:8079/?token=495324564&user=-1356107170&config=1,1095,0,0
1777846293148,1025,HTTP Request,200,OK,Config 1 1-1,text,false,"The operation lasted too long: It took 1 025 milliseconds, but should not have lasted longer than 470 milliseconds.",231,159,2,2,http://localhost:8079/?token=495324564&user=-1356107170&config=1,1025,0,0
1777846293147,1118,HTTP Request,200,OK,Config 1 1-2,text,false,"The operation lasted too long: It took 1 118 milliseconds, but should not have lasted longer than 470 milliseconds.",231,159,2,2,http://localhost:8079/?token=495324564&user=-1356107170&config=1,1118,0,0
1777846294649,1059,HTTP Request,200,OK,Config 1 1-2,text,false,"The operation lasted too long: It took 1 059 milliseconds, but should not have lasted longer than 470 milliseconds.",231,159,2,2,http://localhost:8079/?token=495324564&user=-1356107170&config=1,1059,0,0
1777846294647,1146,HTTP Request,200,OK,Config 1 1-1,text,false,"The operation lasted too long: It took 1 146 milliseconds, but should not have lasted longer than 470 milliseconds.",231,159,2,2,http://localhost:8079/?token=495324564&user=-1356107170&config=1,1146,0,0
1777846296147,1005,HTTP Request,200,OK,Config 1 1-2,text,false,"The operation lasted too long: It took 1 005 milliseconds, but should not have lasted longer than 470 milliseconds.",231,159,2,2,http://localhost:8079/?token=495324564&user=-1356107170&config=1,1005,0,0
