timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777847119977,498,HTTP Request,200,OK,Sress 1-1,text,true,,231,159,1,1,http://localhost:8079/?token=495324564&user=-1356107170&config=3,498,0,0
1777847120783,602,HTTP Request,200,OK,Sress 1-2,text,true,,231,159,2,2,http://localhost:8079/?token=495324564&user=-1356107170&config=3,602,0,1
1777847121479,388,HTTP Request,200,OK,Sress 1-1,text,true,,231,159,3,3,http://localhost:8079/?token=495324564&user=-1356107170&config=3,388,0,0
1777847121584,496,HTTP Request,200,OK,Sress 1-3,text,true,,231,159,3,3,http://localhost:8079/?token=495324564&user=-1356107170&config=3,496,0,1
1777847122284,397,HTTP Request,200,OK,Sress 1-2,text,true,,231,159,4,4,http://localhost:8079/?token=495324564&user=-1356107170&config=3,397,0,0
1777847122383,498,HTTP Request,200,OK,Sress 1-4,text,true,,231,159,4,4,http://localhost:8079/?token=495324564&user=-1356107170&config=3,498,0,1
1777847122980,390,HTTP Request,200,OK,Sress 1-1,text,true,,231,159,5,5,http://localhost:8079/?token=495324564&user=-1356107170&config=3,390,0,0
1777847123085,398,HTTP Request,200,OK,Sress 1-3,text,true,,231,159,5,5,http://localhost:8079/?token=495324564&user=-1356107170&config=3,398,0,0
1777847123180,493,HTTP Request,200,OK,Sress 1-5,text,true,,231,159,5,5,http://localhost:8079/?token=495324564&user=-1356107170&config=3,493,0,1
1777847123787,394,HTTP Request,200,OK,Sress 1-2,text,true,,231,159,6,6,http://localhost:8079/?token=495324564&user=-1356107170&config=3,394,0,0
1777847123883,399,HTTP Request,200,OK,Sress 1-4,text,true,,231,159,6,6,http://localhost:8079/?token=495324564&user=-1356107170&config=3,399,0,0
1777847123981,502,HTTP Request,200,OK,Sress 1-6,text,true,,231,159,6,6,http://localhost:8079/?token=495324564&user=-1356107170&config=3,502,0,1
1777847124482,403,HTTP Request,200,OK,Sress 1-1,text,true,,231,159,7,7,http://localhost:8079/?token=495324564&user=-1356107170&config=3,403,0,0
1777847124589,475,HTTP Request,200,OK,Sress 1-3,text,true,,231,159,7,7,http://localhost:8079/?token=495324564&user=-1356107170&config=3,475,0,0
1777847124683,423,HTTP Request,200,OK,Sress 1-5,text,true,,231,159,7,7,http://localhost:8079/?token=495324564&user=-1356107170&config=3,422,0,0
1777847124781,595,HTTP Request,200,OK,Sress 1-7,text,true,,231,159,7,7,http://localhost:8079/?token=495324564&user=-1356107170&config=3,595,0,0
1777847125288,486,HTTP Request,200,OK,Sress 1-2,text,true,,231,159,8,8,http://localhost:8079/?token=495324564&user=-1356107170&config=3,486,0,0
1777847125387,430,HTTP Request,200,OK,Sress 1-4,text,true,,231,159,8,8,http://localhost:8079/?token=495324564&user=-1356107170&config=3,430,0,0
1777847125482,421,HTTP Request,200,OK,Sress 1-6,text,true,,231,159,8,8,http://localhost:8079/?token=495324564&user=-1356107170&config=3,421,0,0
1777847125582,507,HTTP Request,200,OK,Sress 1-8,text,true,,231,159,8,8,http://localhost:8079/?token=495324564&user=-1356107170&config=3,507,0,1
1777847125981,398,HTTP Request,200,OK,Sress 1-1,text,true,,231,159,8,8,http://localhost:8079/?token=495324564&user=-1356107170&config=3,398,0,0
1777847126085,491,HTTP Request,200,OK,Sress 1-3,text,true,,231,159,9,9,http://localhost:8079/?token=495324564&user=-1356107170&config=3,491,0,0
1777847126179,437,HTTP Request,200,OK,Sress 1-5,text,true,,231,159,9,9,http://localhost:8079/?token=495324564&user=-1356107170&config=3,437,0,0
